小说名,作者,分类,状态,简介
一世富贵,安化军,历史*两宋元明,连载中,穿越到北宋仁宗年间，金榜题名，却因为得罪太后，被打发到岭南为官。从边疆小官做起，步步升迁，徐平终于熬到出头天，在宋代书写自己的传奇。从五代乱世走来的北宋，世家大族一扫而空，社会上还没有
燃钢之魂,阴天神隐,游戏*游戏异界,连载中,这是前传奇战士携带系统穿越游戏异界，吊打各路野怪，单手怼Boss，平A救世界的故事。先砍死敌人，再思考问题。====订阅书群：606962637=====源于火
美食猎人,紫蓝色的猪,二次元*衍生同人,连载中,一本冲着黑暗大陆而去的正常向全职猎人同人。....................已完结小说：火影之祸害，刀剑神域之活下去，海贼王之漫漫长路。群号：164434
完美机甲剑神,墨乡,游戏*电子竞技,连载中,进入大宇宙时期的人类，在星空遭遇黑暗魔族，双方血战星空。少年张远重生十年前，借游戏《英雄》加入星空战场，一代机甲剑神横空出世。
抗日之铁血智将,574981,军事*抗战烽火,连载中,574981重新回归抗战军事小说！临危受命反围剿！孤军深入建根据地！孤身一人下江南，看主角如何从一个作战参谋在抗日战场杀成一代战神！
青叶灵异事务所,库奇奇,灵异*悬疑侦探,连载中,我叫林奇，在拆迁办工作，今年年初的时候负责一个旧小区的拆迁。小区中有一住户，门口挂着“青叶灵异事务所”的古怪牌子，屋子被改造成了办公室，废弃多时，积满了灰尘。在办公室的档案柜中，整齐陈
我是虚拟现实游戏公司总裁,恶魔钢笔,科幻*超级科技,连载中,面对各国记者的采访，李昂侃侃而谈：“没有钱了，肯定要做啊，不做没有钱用。”“融资是不可能融资的，这辈子都不可能融资的。”“上市圈钱又不会，只能靠做这个（指游戏）
杀出矩阵：起源,迷路的鱼,都市*异术超能,连载中,Matrix（矩阵），本意是孕育生命的地方，乃一切起源之初。当各种不该存在现实的虚拟怪物出现在现实中时，当人类面对“矩阵游戏”这一前所未有的超自然物体时，一场前所未有的人类危机即将轮回
系统之乡土懒人,乡土宅男,都市*都市生活,连载中,遭村人嫌弃的懒人叶荣耀非常幸运地获得神奇的“懒人系统”，从此不但种地、养殖十里八乡无人能比，竟然还会看病、会武功、会厨艺……，一个神奇的乡土懒人的神奇的传奇就这么诞生了……
征战万界,隔壁老王01,科幻*时空穿梭,连载中,这是一名武者，凭借一杆长枪，征战诸天万界的故事！
星界游民,晨星LL,科幻*时空穿梭,连载中,星河时代，地球联邦与奥术帝国的战争，最终以两个世界的毁灭落下了帷幕。“星环时代”号舰长江枫乘坐的逃生舱，意外穿越了次元壁垒，跃迁到了一片陌生的星域，成为了地球联邦的唯一幸存者。原本只想
英雄联盟：上帝之手,三千勿忘尽,游戏*电子竞技,连载中,作为国内最强战队的队长，电竞豪门的绝对王牌，他将自己最好的青春全部奉献给了战队，然而，当英雄迟暮，等待他的，却是被无情的扫地出门！这一世，当忠诚化为可笑的悲哀，梦想沦为现实的囚徒，白桦
文坛救世主,卖萌无敌小小宝,都市*都市生活,连载中,张楚的文娱人生，从高考满分作文开始。他是悬疑推理大师，都市言情教主，盗墓探险鼻祖，现代文学接班人。华语文坛迎来救世主！-------已有
相声大师,唐四方,都市*娱乐明星,连载中,男问：“这书好笑吗？”女摇头道：“不好笑，都冷死了。”男人解开自己的衣服，柔声道：“来穿上我的衣服，小心着凉。”女人也很感动，笑着说道：“谢谢，裤子就不必了。”
钢铁皇朝,背着家的蜗牛,历史*架空历史,完本,一场绝密级的试验爆炸让萧铭来到一个类似古代的平行世界。在这个满是恶意的地方，他身为最不受宠的皇子，拥有着一块最贫瘠的封地。不过幸运的是，绝密试验中一个名为科技晶石的物品跟随
无限气运主宰,落花独立,游戏*游戏异界,连载中,穿越异界，成为帝国唯一继承人，日后更可继承皇位，没毛病，这很主角！只可惜时不我待，晚生了十几年，未能力挽狂澜于国破家亡之前！只能无奈沦为囚犯，被困樊笼不得逃脱！
奶爸的异界餐厅,轻语江湖,二次元*原生幻想,连载中,诺兰大陆的混乱之城中，有着一家奇怪的餐厅。在这里，精灵要和矮人拼桌，兽人被严禁喧哗，巨龙只能围坐在餐厅前的小广场上，恶魔甚至需要自己带特制的凳子……但就是这么一家规矩奇葩的餐厅，门口却每天都排
诛明,特别白,历史*两宋元明,连载中,他姓朱.他在大明嘉靖年间.他觉得这个时代很太平.他错了.他发现能依靠的只有这口刀.
巨星家族,大佑佑,都市*娱乐明星,连载中,已过不惑之年的沈秋山意外穿越平行时空，苏醒之后发现，自己竟然生在了一个牛叉闪闪的“文娱世家”……二弟是歌手（过了气的那种）三妹是演员（十八线的那种）四弟是武替（
混元剑帝,乘风御剑,玄幻*异世大陆,连载中,“地球华国，我一人一剑，败国内十位武道大师，人称剑圣青墟！”“神荒大地，我持三尺青锋，纵剑天下，剑锋所向，有我无敌，被称为青墟剑尊。”“混沌神域，我剑道大成，剑气十万里，万
英雄联盟：冠军之箭,雨雪紫冰辰,游戏*电子竞技,连载中,一觉醒来重生于熟悉而又陌生的平行世界。有熟悉的老爸，有陌生的后妈，还有个没有任何血缘关系的漂亮妹妹开直播。有熟悉的英雄联盟，有更完善的职体系，还有前世打职业时很难想象的女选
大数据修仙,陈风笑,仙侠*现代修真,连载中,冯君身为985的双学位，毕业就失业了，在都市中艰难打拼，偏偏还放不下架子，他的处境可想而知。直到有一天，他和手机被雷劈了，猛然发现，原来自己可以化身数据，进入app中。化身
浪迹在诸天,巴下客,仙侠*神话修真,连载中,末法时代，历经无量量劫，修炼纪元即将终结，最后的气运结合遁去的一演化至宝诸天棋盘，被末法时代最后一个修行之人得到，开启了一段浪迹诸天的传奇。
冥主,中原五百,仙侠*神话修真,连载中,春衫年少，细雨微茫，他是四季山庄的贵公子。江湖之远，庙堂之高，他是言定天下的谋主。雷峰塔倒，西湖水干，他总也等不到要等的人。…………他是王侯，亦是乞
篮坛少帅,四仰化三铁,体育*篮球运动,连载中,一个来自未来的业余篮球爱好者，孤身闯荡美职篮，成就王朝教父。群：593387120
红楼之庶子风流,屋外风吹凉,历史*架空历史,连载中,外科医生贾琮过劳而卒，魂穿荣府。谱一曲红楼幽梦，唱一世庶子风流。
未来宠物店,维斯特帕列,科幻*未来世界,连载中,开了个宠物店，第一天却收到了只熊猫！这是什么鬼？救命，我不想坐牢啊！书友群：99343033
史上最强狗熊系统,七乐,科幻*进化变异,连载中,阳春三月，冬雪消融，南方已经可以感受到春天的气息，但北方的冰雪依然不愿离去。巨大的古松下，一头足以两层楼高的棕熊正慵懒的从树洞走出，他叫叶青山，是周围近千里的熊王，躺在冰冷的雪地里，啃
懒散初唐,北冥老鱼,历史*两晋隋唐,连载中,武德五年，大唐初立，李渊呆在美女如云的后宫之中，忙着享受自己得来不易的胜利果实，李建成忙着稳固自己的太子之位，李世民忙着觊觎大哥的位子，武将们忙着打仗，文臣们忙着治国，商人们忙着与胡商做生意，农户
山海画妖师,苍知,玄幻*东方玄幻,连载中,古老时代，山海入侵。人类为生存，求道于古老，后得山公教化，传之于三友，借画定义森罗，以妖概述万千，终留画妖师之不世传承。然而，世人只知山海，却不知还有倒山海。1700年前，
不灭龙帝,妖夜,玄幻*异世大陆,连载中,身怀绝世血脉，少年自北漠拉棺而来，他要将世上神魔全部埋葬。
我是仙凡,百里玺,仙侠*幻想修仙,连载中,仙侠和种田结合。一名少年无意打开灵台，识海发现方寸灵山。从此种仙稻，养灵药，开洞府，开辟一片桃源仙境，踏上修仙之路。-------------------百里玺官方粉丝群：
神级农场,钢枪里的温柔,都市*都市生活,连载中,遭遇人生低谷的夏若飞意外发现祖传画卷中竟内含乾坤，自带一方独立的小空间。空间里有促进植物生长的灵潭水，有医治百病的神秘灵花，还自带十倍时间流速，栽什么都是精品，种什么都长得飞快，养什
时代巨擘,百刹,都市*都市生活,连载中,遮天公司，一手遮天！穿越1973年，和世界首富比尔·盖茨成为哈佛大学同学！“盖茨，跟哥一起辍学吧，咱们把微软公司建立起来，哥以后带你去纳斯达克敲钟！！！”穿越1
超级仙学院,尺长寸短,都市*异术超能,连载中,都市中有这样一所学院，它不教人数理化，而是教人武功秘法，神功异能，仙术神通。学院的老师也不是一般的老师，而是来源于各个小说以及影视位面的响当当人物。楚留香：“论让妹子倒贴的
电影世界大盗,七只跳蚤,科幻*时空穿梭,连载中,窃钩者诛，窃国者侯，盗窃一方世界又何如！穿梭电影世界，盗女主，盗宝物，盗一方气运，无所不盗。主角们一个个哭喊着：“我的大气运！”“我的大造化！”
浴血兵锋,丑牛1985,军事*战争幻想,连载中,从地球穿越到紫灵星球的李流，决战场，一战成名！成为国家军部重点后备人才。斗杀手，杀佣兵，驱逐古武世家。为保卫国家，领兵作战，杀场染血！这是从一个小兵成长为铁血将
盛唐剑圣,无言不信,历史*两晋隋唐,连载中,盛唐三绝：李白的诗、张旭的草书、裴旻的剑。一个中文系的学生穿越成了史上唯一一个经由国家承认的剑圣裴旻，青锋三尺，天下无敌，上揽九霄寰宇，重铸盛唐诗篇。
最强医圣,左耳思念,都市*异术超能,连载中,带着一身通天本领强势回归。会治病、会算命、会炼药、会摆阵、会炼符……“这个世界上没有我办不到的事情！”——沈风。——————————————————读者群：53
走进修仙,吾道长不孤,仙侠*幻想修仙,连载中,普通版：当一个科研人员穿越到借科学方法探求天地的世界……王崎：我们的口号是——学好数理化，修仙问道都不怕！CCTV10版：《天演图录》为何与进化论有
大劫主,黑山老鬼,仙侠*修真文明,连载中,一卷道元真解，暗藏大道玄机，一术推洐万法，三千大道在胸。寒门少年崛起，苦读十年窥得真经！终得一剑出玄黄，只手护苍生！三千年大劫降世，亦只作掌中神兵，从此仙路上，
神级大魔头,拉姆,玄幻*东方玄幻,连载中,“无耻夏平，抢我秘籍，夺我丹药，夺我未婚妻，我和你不共戴天。”“他是武道之耻，人类蛀虫，是人渣败类。”“无恶不作，连三岁小儿的棒棒糖也抢，老人过马路都不扶。”“
大明妖孽,冰临神下,历史*两宋元明,连载中,天上有神，世上何以妖孽横行？天上无神，心中何以疑惑重重？明朝成化年间，号称“狐生鬼养”的一群锦衣校尉，奉命在无神的世界里寻找真神，在有限的生命里寻找长生之道。
诅咒之龙,路过的穿越者,奇幻*另类幻想,连载中,一个穿越者穿越到异世界后，做不了人的生活……故事从石头里蹦出来之后开始……
农家仙田,南山隐士,都市*都市生活,连载中,神秘空间，偏僻山村。从繁华都市回归的小农民，开启了他的传奇人生。荒野庙宇，武林宗派，让平静的山林渐变喧嚣。李青云说，其实我只是个农二代……闲时进山打
执魔,我是墨水,仙侠*幻想修仙,连载中,师父说，上了手的女人，就要一生一世保护好。师父说，修魔很难，一入魔道永不回头。师父说，天圆地方，那圆是圆满，那方是心的棱角，是对命运的忤逆，是对天的不顺从。我的
动画世界大冒险,穷四,科幻*时空穿梭,连载中,买了个国产动画片故事合订本，邱明发现能穿越到经典国产动画片的故事世界。而这个世界，并不是你知道的那样。神仙、妖怪，蛇精、狐女，统统都有着另外一面。三个和尚竟然各怀神通，初见哪吒还是一个
唐朝好舅子,晨风天堂,历史*两晋隋唐,连载中,大唐如诗篇、长安美如画。苦力级写手穿越大唐。盛世大唐多了一个乡野小民，一个让世界颤抖的小民。唐的文明与太阳一样照耀每一片阳光之下的土地。群号：274
娱乐大顽家,五陵,都市*娱乐明星,连载中,星探韩歌手机上多了一款软件，能看到别人的天赋，演员、歌手、主播、球星……世界上的每个人都是独一无二的，有人擅长唱歌，有人擅长演戏，有人擅长踢球，还有人擅长……韩歌不禁感慨一
在仙界当漫画家,寻雾者,仙侠*幻想修仙,连载中,“大家好，我是食神，前几天《药王之灵》大火，天帝看了之后整天怀疑我在他妃子的菜里下药怎么破？”“大家好，我是招财童子，前几天我家财神大人看了《仙法少女伊利亚》，这几天都不出去撒币，改呆
无敌真寂寞,新丰,玄幻*东方玄幻,连载中,林凡来到异界，成为了一名光荣的普通弟子，原本身处在随时都能被人打成翔的处境中，可突然间，情况不对了。系统开启。叮：抽中永恒级BUFF：不死之身。这一刻，整个世界
环城术士,黑袍雷斯林,科幻*时空穿梭,连载中,继承来自环城女士的遗赠，沈言成为能吞噬血脉的环城术士。精灵术士，魔法弓箭双能卫，后排无敌；炎魔术士，火焰风暴洗地，召唤恶魔军团，力敌万军；苍白术士，巫妖围攻浑不惧，负能量等加血
天神诀,太一生水,玄幻*东方玄幻,连载中,【火爆玄幻】一滴魔血，照破山河万朵。一卷古经，湮灭日月轮回。一部神诀，埋葬诸天至尊。杨青玄得天命传承，修无敌之法，开启了一场碾压当世无数天才，通往万古不朽的强者之路！“我一向以德服人，不服的都是死
从仙侠世界归来,发狂的妖魔,都市*异术超能,连载中,五年前，萧凡突然神秘失踪，生不见人，死不见尸，没人知道他其实是去了一个广袤无边，仙神林立，妖魔横行的仙侠世界。五年后，萧凡已经在那个仙侠世界度过了漫长的五千年，带着一身神秘莫测，通天动地的能力，
宠物小精灵之庭树,轻泉流响,二次元*衍生同人,连载中,琉璃市，与米可利作为协调家的代表迎战传统训练家，奠定了华丽大赛的地位。栖水市，成为史上最年轻的高级培育家，名字被永久记载于培育家协会。华蓝市，以训练家的身份重归故乡，单宠吊
悠闲修道人生,钓鱼1哥,仙侠*现代修真,连载中,罗天旺在河里游泳的时候，意外获得古龟甲，获得仙缘。懵懂少年开始一段神奇的修仙之旅。老鱼的第三本修道类小说，敬请关注！
万历1592,御炎,历史*两宋元明,连载中,这世上有太多的未解也注定无法解开的谜团，比如萧如薰就不知道为何自己能从末世回到五百年前的大明朝。万历二十年，是最好的时代，也是最坏的时代。距离神州沦陷还有一个甲子，挽回一切
侠行天下,zhttty,武侠*武侠幻想,连载中,武侠从没死去，侠，一直都在心中，侠不一定非得是封建社会，甚至不一定得是有门派，有江湖，侠，其实是我们的梦，那种路见不平，拔刀相助，那种十年磨一剑的梦。这本书的开始，就叫作十年一剑，故事
最后一个使徒,卷土,玄幻*异世大陆,连载中,黄沙掩埋了白骨，夕阳下的风中，有着血腥的味道。大陆的痛楚，在朝着四面八方扩散，当大爆炸的历史出现拐点的时候，当巨大的钢铁要塞横亘而过，遮蔽住人们视野
穷鬼的上下两千年,非玩家角色,历史*架空历史,连载中,她曾经历了长平之战，见证了数十万人的坑杀。她曾率领大秦铁骑，与六国逐鹿天下。她见过天下三分，山河破碎。也听过那袅袅的隆中琴音。贞观盛世她曾一醉今朝，那千古女帝又是如何芳华？她鲜衣怒马过，也曾羽扇纶
革命吧女神,草上匪,奇幻*史诗奇幻,连载中,李奇被革命女神丢到异世界，这里漫天神魔，超凡如狗，奋斗出个吃香喝辣的前程就很辛苦了，女神却要他在这里掀起轰轰烈烈的凡人革命。没有女巫，只有魔女。枪炮炸药蒸汽机打不过神术魔法灵力，只能运
汽车黑科技,蠢蠢凡愚QD,都市*异术超能,连载中,李凡愚在课堂上睡了一觉，醒来便发现熟悉的汽车品牌都不见了。没有宝马奥迪，没有路虎宾利，没有保时捷法拉利...民族汽车更是倒退了十年，国内市场被外资霸占。更离谱的是手机里多了个Xapp，牛掰的
读书成圣,苏牧武,都市*都市生活,连载中,读书学技能，就问你怕不怕！读《刺客列传》领悟闷棍，读《唐诗宋词》掌握撩妹核心姿势。读书……其实是一件很残暴的事儿。【书友交流群：575508976】
信仰诸天,朝不保夕,玄幻*东方玄幻,连载中,凡人世界，他是韩跑跑手中一具诡异的傀儡；我欲封天中，他是孟浩又敬又怕的师叔；仙逆世界，他是与王林把酒言欢的生死之交；盘龙世界，他是挽狂澜于既倒的光明教皇；遮天世界，他是狠人女帝不愿成仙只为在红尘中
凡人修仙传,忘语,仙侠*幻想修仙,完本,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！续篇《凡人修仙之仙界篇》已经在起点"
造车,榕之子,现实*成功励志,连载中,“我想造车！”韩皓一本正经说道。“就你——”周围的人都笑了，其中有人出言讽刺道。“别人造的汽车都是用钱买，而你韩皓造的汽车得用命买！”面
海贼之雷神降临,焉得羽翼兮,二次元*衍生同人,连载中,围绕着自由与梦想为主题而又波澜壮阔的海贼世界，忽然闯入了一个不速之客！没有力量就一无所有的世界中，是选择甘于平淡碌碌无为，还是用自己的命为赌注搏出一条通天大道？“疯狂与肆意，畅快与刺激！我追寻
魔法种族大穿越,残酷厕纸天使,科幻*时空穿梭,连载中,法爷为何修真？地精因何舞光剑？凝聚神格+四九天劫=What？自晶壁破裂，‘轮回殿’坠落物质位面以来，恶魔猖獗，天下纷争，魔鬼、亡灵、巨龙接踵而起，诸神失格，苍生涂炭。主位面有累卵之危，
巫师不朽,两只陈洁南,奇幻*史诗奇幻,连载中,这是一个二次穿越的穿越者，在巫师世界踏上巫师之路的故事。在末日世界猎取晶核，在始祖世界提取血脉，在诸神世界猎杀诸神...身带穿越异能，穿梭无尽世界，掠夺无尽世界的知识与资源，成就自身巫
东京绅士物语,黑暗风,都市*都市生活,连载中,这是一个关于被外星人绑架后送回地球的少年的故事，然而这个地球好像有哪里不太对；这是一个关于可爱的男孩纸在日本做动漫和游戏的故事，然而魔法少女是shenmegui；这是一个有
郭大炮的文娱生涯,大江入海,都市*都市生活,连载中,一个莫名其妙得了另一个平行世界记忆的家伙，野蛮粗暴的一头扎进了文娱圈。他像一个鲶鱼一般，搅的整个文娱圈鸡飞狗跳，人人见之变色。他是一个不是明星的明星。是一个会说
大国文娱,香港大亨,都市*娱乐明星,连载中,林棋发现一道可以穿越回到过去的门，门的对面是1979年。美国好莱坞正在全球攻城略地，日本动漫游戏已开始向全球辐射影响力……拥有五千年灿烂历史文化的华夏文化领域却已落后世界半个世纪……
宋末之乱臣贼子,堕落的狼崽,历史*两宋元明,连载中,李璟穿越到北宋末年，成为梁山附近独龙冈李家庄扑天雕的儿子。从此历史的车轮就在这里转了一个弯。他是宋徽宗的弟子，却使赵家诸子夺嫡，自己在暗地里挖着大宋的墙角；他是宋钦宗的股肱之臣，却睡了
重生之魔教教主,封七月,武侠*武侠幻想,连载中,意外身亡，楚休发现自己竟然穿越到了游戏世界《大江湖》当中，成为了游戏中还没成长起来的，第三版的最终反派大boss，祸乱江湖的魔教教主！《大江湖》当中融汇无数武侠背景，有东岛之王天子望气
电弧中的高级玩家,大脸猫脸大,科幻*超级科技,连载中,"专业维修核潜艇，核弹头翻新,改装,抛光,喷漆.回收二手航母,大修核反应堆,、清洗航母油槽、航天飞机保养换三滤.高空作业擦洗卫星表面除尘.星球设计，批发歼10，F22F35B2轰炸机，各类核弹头"
天神学院,写字板,仙侠*幻想修仙,连载中,这是~什~么~鬼~~？”只见一位身穿华丽银甲的绝美少年，一边把玩着身后伸过来的圣光羽翼，一边无比震惊的说道。而他所在的地方，是一间足足有数千平方米的巨型白色大殿，四壁和穹顶
我真不是开玩笑,曾经拥有的方向感,都市*都市生活,连载中,被星际时代大文学家记忆撑爆大脑，唐准醒来后发现重生在了平行世界。书写出脑海中的星际时代道韵图，普通人中的天才们看了就可以暂时觉醒异能，一步步向真正异能者进化，唐准面临的问题是如何让更多
英雄联盟之天王时代,妖冶娴都,游戏*电子竞技,连载中,【作者段位最强王者】单排王者前三，被称为“rank第一上单”的苏杭一觉醒来，发现这个世界变了。“什么？WE战队是草莓微笑厂长若风卷毛5人组？”“卧槽？CLG.E
全民进化时代,黑土冒青烟,玄幻*东方玄幻,连载中,“我要是能够重活一次，这天下也就没谁了。”林真虽然是星境武者，却憋憋屈屈的过了一辈子，从地球时代开始，到人类大迁徙走出太阳系，他一直都没混出个人样，一辈子无数的仇没报了，无数的愿望没实
大宋好屠夫,祝家大郎,历史*架空历史,完本,《诗与刀》，已签约上传，必不失望。郑智穿越到了北宋水浒世界，变成了那个被鲁提辖三拳打死的镇关西、郑屠户。北宋末年，战乱四起，群雄逐鹿，华夏式微。正是英雄用武之地。
女帝的大内总管,狐不悲,二次元*原生幻想,连载中,作为“神秘学”爱好者的周安一直都相信，这世界有神仙存在，他练过气功，学过法术，曾在地摊上以十三块五的价格，买过几斤秘籍，也曾在古玩市场上淘过丹方，用微波炉练过丹。所以他死了！被自己练得
捡宝王,全金属弹壳,都市*都市生活,完本,爱黄金，爱白银，更爱星光璀璨的宝石。枪械，珠宝，还有贵金属，收藏家的世界怎么能少了古董？仓库拍卖，旧货交易，房产收售，还有淘金挖矿，其实要想赚钱那么寻找传说中的宝藏才是王道
大唐风华路,山下出水,历史*两晋隋唐,连载中,穿越成为李世民的私生子，然而并不知道自己的身份。有个童养媳，种着几亩地，没事发明点东西，慢慢将一个烂泥村落发展起来。韩跃感觉这种日子挺好，如果没有人打搅他情愿一辈子都这样。
我被系统托管了,木恒,科幻*进化变异,连载中,系统有了，身体却没了，重度拖延症晚期患者方宁开始了自我救赎（苟且偷生）之路。作品讨论群号：294035360有意见联系作者请加群
移动藏经阁,汉宝,玄幻*东方玄幻,连载中,白晨的脑袋里藏着一个藏经阁，藏经阁里收尽天下武学……开通了公众微.信.号，可以微信搜索订阅公众号‘汉宝的梦’，即可与汉宝互动。
魔法与万象卡牌系统,威馆长,二次元*衍生同人,连载中,“什么？你是位战士！”“终结者上，踢死他！让他知道没有钢铁般的意志，不配叫战士。”“还有提莫，去把墙角装隐身的那个盗贼给我擒下，以后你就用他实验新品种的蘑菇。”
全知全能者,李仲道,都市*异术超能,连载中,得到了鉴天镜碎片后，许广陵能够梦中沟通他人意识，于一夕之间，便获得、领悟并深谙其他人毕生积累的知识、技能、经验、传承等。就这样，一步一步，许广陵走上了自身也不知将通向何处的道途。
在下慎二，有何贵干,烂衣奸少,二次元*衍生同人,连载中,昏暗的地下室，阴湿的墙壁，异样的近乎恶心的环境。干瘦的老者在狞笑，幼小的女孩在哭嚎。虫子，无数的虫子如潮水般涌向女孩，仿佛想要将她彻底啃食殆尽。女孩下意
悠闲乡村直播间,名窑,都市*都市生活,连载中,乡村小直播，大看台。直播奖励多，上山打猎配良弓，下水捉鱼好网兜。山间野趣欢乐多，卖萌宠物不能少。开山路，下地河，采摘野果，直播乐事多。玩玩乐，赚赚钱，逗逗狗，撵野猪。乡下小直播
神魔供应商,何处不染尘,玄幻*东方玄幻,连载中,我种下一颗种子，收获无数的果实…回忆着歌词，江太玄看了看自己的药田，用力把嫦娥摁了进去。“来年，我要收获无数嫦娥！”专业种植，培养，租借，出售，回收一切神魔，一
诸界末日在线,烟火成城,科幻*时空穿梭,连载中,当游戏中的第一件法宝出现在现实世界，所有人类都为之陷入疯狂。这是最好的时代，人们进入游戏，将装备、神通、修为统统带回现实世界；这是最坏的时代，游戏中的妖魔侵入现实，实力恐怖
科技图书馆,孤胆蚂蚁,科幻*超级科技,连载中,科技图书馆：科学的至高境，就是神学；长生不老，飞天遁地，呼风唤雨，移山填海。这些神话传说，科学是可以实现的。想拿这些技术，必须拥有科技图书馆最高权限。一次意外的救人，让陈默
王者荣耀直播穿越系统,疯狂的石头怪,游戏*游戏异界,连载中,我，李白，打钱……哦不，打赏！这里是王者荣耀的世界，魔道与机关术并行，吞噬生命的魔种，潜伏在人类中的觉醒者，稷下学宫的诸子，秦楚汉魏蜀吴宋唐的八国争霸......从大唐边
网游之全球在线,笙箫剑客,游戏*虚拟网游,连载中,史上第一款集个人冒险+领地建设+位面战争于一体的跨时代网游《地球Online》，全球玩家在线，群雄争霸。且看重生后的主角如何建设领地，招募历史猛将名士，搅动风云，成就帝王霸业！（PS：
我修的可能是假仙,明月地上霜,二次元*搞笑吐槽,连载中,嫦娥仙子为何半夜飙歌，七仙女为何夜偷蟠桃，各方神兽为何屡遭黑手，数百名仙人集体跳广场舞的背后又隐藏着什么？这一切的背后，是神仙的抽疯还是道德的沦丧？让我们跟随小说，走进修了假仙的安林的内心世界
重塑人生三十年,皇家雇佣猫,都市*都市生活,连载中,吾十有五，而志于学，三十而立，四十而不惑，五十而知天命……从1996开始，重塑一生中最精华的三十年……这是一本带点文艺的重生文……书友群：317016406
偷香,墨武,历史*秦汉三国,连载中,点灯摸金欲偷香，盗亦有道我张扬！穿越到三国时期的单飞，才知道三国并非只是武将的天下。接触三香传说后，逐渐知晓这世间的混战，暗藏着惊天的秘密。三国乱世，只不过是为了延续完成上古先秦的一个
最强炊事兵,菠菜面筋,军事*军旅生涯,连载中,不管用什么样的食材都能做出美食，这才是好厨子！——《菜谱系统》炊事兵QQ群66189641微信群二维码在QQ群相册炊事兵全订群555273557
火影之最强卡卡西,墨渊九砚,二次元*衍生同人,连载中,九尾之夜，来自现世的灵魂与卡卡西的灵魂相互融合，一个全新的旗木卡卡西诞生了！刀术！雷遁！写轮眼！正版书友群：555050388
巅峰文明,大烟缸,游戏*游戏异界,连载中,王强是一个酷爱挑战最高难度游戏的超级玩家，他加入了一群由高维超级生物，也就是俗称神的家伙们主导的建设争霸流游戏，从史前石器时代建立自己的文明与其他玩家文明在不同的时空竞赛。波斯战象，蒙
总裁校花赖上我,鱼人二代,都市*都市生活,连载中,【鱼人新书】杀手兵王楚楠归隐花都来退婚，刚下火车就被抓去冒充霸道美女总裁的男友！我可是来退婚的，你怎么都赖上我了呢？【鱼宝宝书友1群333702438（已满），鱼宝宝书友
我的目标是冠军,红豆儿啊,游戏*电子竞技,连载中,AD，是一种信仰。C是一份承诺。自从微笑将carry的责任赋予了AD这个位置，那么，我的责任就是将ADCarry延续下去！重回到S5赛季之初，即将迎来最辉煌和最低谷的lp
绝世天君,高楼大厦,玄幻*东方玄幻,连载中,武魂万千，神道无上，我只问一句，可无敌否？青藤通天，苍穹为牢，万载神液化天骄，我只问一句，可无敌否？若世上无无敌之法，那便做无敌之人！——郑十翼【送给新读者的简介】这里有最热血的故事，这里有
帝国重器,周硕,都市*都市生活,连载中,胡文海好不容易重生了，准备抡圆了狠狠折腾一回。抢占美国在电子领域的经济奇迹，终结美国人用美元抢劫全世界的美梦，和美利坚比赛航母下饺子。他玩航模玩出无人机，卖电池卖成汽车霸主，用安225
主神大道,古月居士,科幻*时空穿梭,连载中,时间游荡，生命掌握在谁的手上?星河浩瀚，尘埃浮游漂向到何方?悠悠苍古，是谁在历史的长廊歌唱?长发满头，忽抬头凝望一生的时光?朝花夕拾，物飞流光。谁才是历史长河中璀璨的星光?成王败寇，
重生之奔腾年代,镔铁,都市*都市生活,连载中,牛仔裤、交谊舞、录像厅和租书店，这是个奔腾的年代，更是个改革开放枭雄辈出的年代；功利、狂躁、偏狭、荒谬混合在一起，使那个时代铸造成了前所未有的、不断突破禁区的大时代。而陈天朗就在这样的时代重生了，
天路杀神,撞破南墙,玄幻*异世大陆,连载中,叶信崛起于异世死囚营，在这个充满欺凌与杀戮的世界，生存似乎才是人生的永恒命题。背负两世血仇的叶信，不甘作命运的弃儿，他誓要在艰难的修行路上，凭着这几尺血肉之躯打破命运的枷锁，挥戈斩旗、杀君弑神，闯
强人,张小花,都市*异术超能,连载中,强人，古意指的是强悍而凶暴的人。近义是本领高的人。巧得很，我们就是要讲一个这样强人的故事。
绝对交易,隐语者,科幻*时空穿梭,连载中,世界上没有什么事情是一次交易不能解决的，如果有，那就进行纯（ang）洁（zang）的交易。说出来你可能不信，跟我交易过的人遍布诸天万界。交易，是一项有利于身心健康，让人无法
诸天万界反派聊天群,不要尬舞,科幻*时空穿梭,连载中,这个穿越画风有些不对？开局就是地狱难度是个什么鬼？还好自带一个金手指。从此以后踏上了诸天万界各大反派人生导师的不归路！露出一脸和善微笑的雄霸正指挥着风云怒肛帝释
勒胡马,赤军,历史*两晋隋唐,连载中,宁平城之战掀开了西晋政权的终章，根据史书记载，上起王公大臣，下至将吏兵丁，尽为胡军所杀，竟“无一人得免者”……不，在尸山血海里，还是有一个年轻人爬了起来，他手执一柄如意，狠狠地向胡帅额
变身超毒舌少女,松子不吃糖,二次元*变身入替,连载中,1.人活着就为了……2.在这物欲横流，人心冷漠的世界，只有这又白又软的？？还有一点温度3.这个世界有中子、原子、质子，以及…………总结：文抄、搞事、
